entreprise,secteur,ville,telephone,email,source,date_contact,canal,statut,notes
Pharmacie Cristal Santé,pharmacie,Agla Cotonou,,À trouver,Google Maps,,,à contacter par Jorès,
Pharmacie Camp Guezo,pharmacie,Cotonou,,À trouver,Google Maps,,,à contacter par Jorès,
Pharmacie JONQUET,pharmacie,Cotonou,,À trouver,Google Maps,,,à contacter par Jorès,
Pharmacie Marina,pharmacie,Cotonou,,À trouver,Google Maps,,,à contacter par Jorès,
Nouvelle Pharmacie Akogbato,pharmacie,Cotonou,,À trouver,Google Maps,,,à contacter par Jorès,
Pharmacie Adechina,pharmacie,Cotonou,,À trouver,Google Maps,,,à contacter par Jorès,
Pharmacie ESPLANADE DANTOKPA,pharmacie,Cotonou,,À trouver,Google Maps,,,à contacter par Jorès,
Pharmacie Du Port,pharmacie,Cotonou,,À trouver,Google Maps,,,à contacter par Jorès,
Madonna Pharmacy,pharmacie,Cotonou,,À trouver,Google Maps,,,à contacter par Jorès,
ABS SARL,commerce import-export,Akpakpa Cotonou,+229****5555,À trouver,Showroom Africa,,,à contacter par Jorès,
Agros Group,agriculture,Cotonou,,À trouver,ETLS,,,à contacter par Jorès,
Agro Pearl,agriculture,Missebo Cotonou,+229****1842,À trouver,Panjiva,,,à contacter par Jorès,
Ouidah Agricultural And Manufactory Ltd,agriculture,Cotonou,,À trouver,B2BMAP,,,à contacter par Jorès,
VANVIK International Trading Sarl,import-export,Cotonou,,À trouver,B2BMAP,,,à contacter par Jorès,
Kifimpex Consult Sarl,import-export,Cotonou,,À trouver,B2BMAP,,,à contacter par Jorès,
FRIGO BENIN,commerce,Cotonou,,À trouver,Annuaire,,,à contacter par Jorès,
LES GRANDS MOULINS DU GOLFE S.A,agroalimentaire,Cotonou,+229****1349,info@gmbenin.com,site officiel,,,email envoyé 2026-07-16,
COTEB-SA,commerce,Parakou,,À trouver,ETLS,,,à contacter par Jorès,
BETRA.SARL,commerce,Cotonou,+229****9838,À trouver,Showroom Africa,,,à contacter par Jorès,
FLUDOR BENIN S.A,agriculture,Cotonou BP 4304,+229****6531,info@fludorbenin.com,site officiel,,,email envoyé 2026-07-16,
SOCIETE DES CIMENTS DU BENIN (SCB),matériaux de construction,Cotonou,+229****7575,serviceclient@cimentbouclier.com,site SCB,,,email envoyé 2026-07-16,
SOCIÉTÉ INDUSTRIELLE DU ACIER DU BÉNIN (S.I.A.B S.A.),matériaux de construction,Semé-Podji Cotonou,+229****7070,siab@siab-benin.com,site officiel,,,email envoyé 2026-07-16,
DONGACO SITEX,commerce,Lokossa,,À trouver,ETLS,,,à contacter par Jorès,
TRANSACIER S.A.,commerce,Cotonou,+229****5159,À trouver,annuaire,,,à contacter par Jorès,
Azar Jean Import and Export,import-export,Parakou,,bss@azarjeangroup.com,site web,,,email envoyé 2026-07-16,
