entreprise,email,telephone,date_contact,canal,statut,secteur,ville,source,notes
CHABESY INTERNATIONAL,chbesyinternational@gmail.com,+229****7415,2026-07-15,email,email envoyé,commerce,Cotonou,monentreprise.bj,
KOREDOURO,souadiko@gmail.com,+229****6378,2026-07-15,email,email envoyé,commerce,Cotonou,monentreprise.bj,
A.J.M,bomel2001@yahoo.fr,+229****8057,2026-07-15,email,email envoyé,commerce,Seme-Podji,monentreprise.bj,
AFRICA CONSULT,africonsult11@gmail.com,+229****4848,2026-07-15,email,email envoyé,services,Cotonou,monentreprise.bj,
ETOILE BLANCHE,etoileblanche.sarl@gmail.com,+229****4135,2026-07-15,email,email envoyé,commerce,Cotonou,monentreprise.bj,
AYEMA ET FILS,ayemaetfils@gmail.com,+229****1549,2026-07-15,email,email envoyé,commerce,Porto-Novo,monentreprise.bj,
SOCIETE GENERALE DE NEGOCE DE DISTRIBUTION ET DE TRAVAUX,gndtsarl@gmail.com,+229****3404,2026-07-15,email,email envoyé,distribution,Abomey-Calavi,monentreprise.bj,
FLUDOR BENIN S.A,info@fludorbenin.com,+229****6531,2026-07-16,email,email envoyé,agriculture,Cotonou,site officiel,
SOCIETE DES CIMENTS DU BENIN (SCB),serviceclient@cimentbouclier.com,+229****7575,2026-07-16,email,email envoyé,matériaux de construction,Cotonou,site SCB,
SOCIÉTÉ INDUSTRIELLE DU ACIER DU BÉNIN (S.I.A.B S.A.),siab@siab-benin.com,+229****7070,2026-07-16,email,email envoyé,matériaux de construction,Semé-Podji Cotonou,site officiel,
LES GRANDS MOULINS DU GOLFE S.A,info@gmbenin.com,,2026-07-16,email,email envoyé,agroalimentaire,Cotonou,site officiel,
Azar Jean Import and Export,bss@azarjeangroup.com,,2026-07-16,email,email envoyé,import-export,Parakou,site web,
